jurisdiction,entity_type,desc,name,link,instructions_link,efile_allowed,efile_required,efile_required_desc,efile_allowed_desc,dd,fiscal_dd_desc,ext_dd,fiscal_ext_dd_desc,,,,,,
Indiana (IN),Individual,Individual Income Tax Return - Part-Yer or Full-Year Nonresident,IT-40PNR,https://www.in.gov/dor/5695.htm,https://www.in.gov/dor/5695.htm,,,,,,,,,,,,,,
Iowa (IA),Individual,Individual Income Tax Return,IA 1040,https://tax.iowa.gov/sites/files/idr/forms1/2017IA1040%2841001%29.pdf,https://tax.iowa.gov/sites/files/idr/forms1/ExpandedInstructions2016A.pdf,,,,,,,,,,,,,,
Iowa (IA),Individual,Composite Individual Income Tax Return for Nonresidents,IA 1040C,https://tax.iowa.gov/sites/files/idr/forms1/2017IA1040C%2841006%29.pdf,,,,,,,,,,,,,,,
Kansas (KS),Individual,KANSAS INDIVIDUAL INCOME TAX,K-40,https://www.ksrevenue.org/pdf/k-4017.pdf,https://www.ksrevenue.org/pdf/ip17.pdf,,,,,,,,,,,,,,
Kansas (KS),Individual,KANSAS INDIVIDUAL INCOME TAX (NON RESIDENT),K-40,https://www.ksrevenue.org/pdf/k-4017.pdf,https://www.ksrevenue.org/pdf/ip17.pdf,,,,,,,,,,,,,,
Kentucky (KY),Individual,INDIVIDUAL INCOME TAX RETURN,740,https://revenue.ky.gov/Forms/2016_42A740.pdf,https://revenue.ky.gov/Forms/2016_42A740(PKT).pdf,,,,,,,,,,,,,,
Louisiana (LA),Individual,Resident,IT-540,http://revenue.louisiana.gov/TaxForms/IT540-WEB(2016)F.pdf,http://revenue.louisiana.gov/TaxForms/IT540i(2016).pdf,,, 15th day of the fifth month following the close of the taxable year,N/A,43235,15th day of the fifth month after the close of the taxable year,43419,6 months,,,,,,
Louisiana (LA),Individual,Nonresident and Part-Year Resident,IT-540B,http://revenue.louisiana.gov/TaxForms/IT540B-WEB(2016)F.pdf,http://revenue.louisiana.gov/TaxForms/IT540Bi(2016).pdf,,,Y,,43235,15th day of the fifth month after the close of the taxable year,43419,6 months,,,,,,
Maine (ME),Individual,MAINE INDIVIDUAL INCOME TAX,1040ME,http://maine.gov/revenue/forms/1040/2017/17_1040me_d.pdf,http://maine.gov/revenue/forms/1040/2017/17_1040me_book_dwnld.pdf,,,,,,,,,,,,,,
Maryland (MD),Individual,Resident Income Tax Return,502,http://forms.marylandtaxes.gov/17_forms/502.pdf,http://forms.marylandtaxes.gov/current_forms/resident_booklet.pdf,,,,,,,,,,,,,,
Maryland (MD),Individual,Resident Income Tax Return - Maryland Dependents Information,502B,http://forms.marylandtaxes.gov/17_forms/502B.pdf,http://forms.marylandtaxes.gov/current_forms/resident_booklet.pdf,,,,,,,,,,,,,,
Massachusetts (MA),Individual,Nonresident/Part-Year Tax Return,1-NR/PY,https://www.mass.gov/files/documents/2017/11/17/dor-2017-inc-form-1-nrpy-.pdf,https://www.mass.gov/files/documents/2017/12/06/dor-2017-inc-form-1-nrpy-inst.pdf,,,,,,,,,,,,,,
Massachusetts (MA),Individual,Resident Income Tax Return,1,https://www.mass.gov/files/documents/2017/11/17/dor-2017-inc-form-1_0.pdf,https://www.mass.gov/files/documents/2017/12/06/dor-2017-inc-form-1-inst.pdf,,,,,,,,,,,,,,
Michigan (MI),Individual,Individual Tax Return,MI-1040,http://www.michigan.gov/documents/taxes/MI-1040_Instruction_Book_609085_7.pdf,http://www.michigan.gov/documents/taxes/MI_1040_Instruction_Book_Instructions_Only_609092_7.pdf,,,,,,,,,,,,,,
Mississippi (MS),Individual,Resident Individual Income Tax Return,80-105,http://www.dor.ms.gov/Forms/80105168.pdf,,,,,,,,,,,,,,,
Missouri (MO),Individual,INDIVIDUAL INCOME TAX RETURN - LONG FORM,MO-1040,http://dor.mo.gov/forms/MO-1040%20Fillable%20Calculating_2017.pdf,http://dor.mo.gov/forms/MO-1040%20Instructions_2017.pdf,,,,,,,,,,,,,,
Montana (MT),Individual,Individual Income Tax Return,M2,https://app.mt.gov/myrevenue/Endpoint/DownloadPdf?yearId=786,https://app.mt.gov/myrevenue/Endpoint/DownloadPdf?yearId=786,,,https://app.mt.gov/myrevenue/Endpoint/DownloadPdf?yearId=786,,,,,,,,,,,
Nebraska (NE),Individual,Individual Income Tax Return,1040N,http://www.revenue.nebraska.gov/tax/17forms/f_1040n.pdf,http://www.revenue.nebraska.gov/tax/17forms/f_1040n_booklet.pdf,,,,,,,,,,,,,,
Nevada (NV),Individual,,,,,,,,,,,,,,,,,,
New Hampshire (NH),Individual,BUSINESS PROFITS TAX RETURN,NH-1040,https://www.revenue.nh.gov/forms/2018/documents/nh-1040-2017-print.pdf,https://www.revenue.nh.gov/forms/2018/documents/nh-1040-instructions-2017.pdf,,,,,,,,,,,,,,
New Jersey (NJ),Individual,Income tax-Resident Return,NJ-1040,https://wwwc.fileyourtaxes.com/www13/cgi-bin/static/displayBlankPDF.pl?form=NJ-F1040.pdf&year=2016,http://www.state.nj.us/treasury/taxation/pdf/current/1040i.pdf,,,Y,Depends,04/15/201/,15th day of the fourth month following the close of the fiscal year,43388,"6 month extension; extension is automatic  with Fed ext for zero returns and if amount due, at least 80% of it was paid off; (if no Fed ext is filed, then ext form NJ-630 needs to be filed to obtain an ext for for both zero returns and for returns with payment due  satisfying the at least 80% requirement to be paid off - (see the return instructions for detail)",,,,,,
New Jersey (NJ),Individual,Income Tax-Nonresident Return,NJ-1040NR,http://www.state.nj.us/treasury/taxation/pdf/current/1040nr.pdf,http://www.state.nj.us/treasury/taxation/pdf/current/1040nri.pdf,,,Y,Depends,43205,15th day of the fourth month following the close of the fiscal year,43388,"6 month ext; extension is automatic  with Fed ext for zero returns and if amount due, at least 80% of it was paid off; (if no Fed ext is filed, then ext form NJ-630 needs to be filed to obtain an ext for for both zero returns and for returns with payment due  satisfying the at least 80% requirement to be paid off - (see the return instructions for more detail)",,,,,,
New Mexico (NM),Individual,,,,,,,,,,,,"If FED ext has been obtained, no need to submit ext form RPD-41096",,,,,,
New York (NY),Individual,"Nonresident and Part-Year Resident
Income Tax Return ",IT-203 (NON-RESIDENT),https://www.tax.ny.gov/pdf/current_forms/it/it203.pdf?_ga=2.216956950.1824729858.1515595587-422374619.1515170541,https://www.tax.ny.gov/pdf/current_forms/it/it203i.pdf?_ga=2.225396762.1824729858.1515595587-422374619.1515170541,,,Y,,43207,"6/15/2018 is the date by which you must file your 2017 New York State income tax return if you qualify to file your federal income tax return on June 15, 2018, because:
1) you are a U.S. citizen or resident alien and live outside the U.S. and Puerto Rico and your main place of business or post of duty is outside the U.S. and Puerto Rico, or
2) you are in the military service outside the U.S. and Puerto Rico when your 2017 return is due. The time to pay your New York State, New York City and Yonkers income tax, and any New York State or local sales or use tax is similarly automatically extended. 
(SEE ADDITONAL EXCEPTIONS ON THEINSTRUCTIONS)",43388,6 month ext,,,,,,
New York (NY),Individual,INDIVIDUAL INCOME TAX RETURN,IT-201,https://www.tax.ny.gov/pdf/current_forms/it/it201_fill_in_2d.pdf,https://www.tax.ny.gov/pdf/current_forms/it/it201i.pdf?_ga=2.23944762.1824729858.1515595587-422374619.1515170541,,,Y,,43207,"6/15/2018 is the date by which you must file your 2017 New York State income tax return if you qualify to file your federal income tax return on June 15, 2018, because:
1) you are a U.S. citizen or resident alien and live outside the U.S. and Puerto Rico and your main place of business or post of duty is outside the U.S. and Puerto Rico, or
2) you are in the military service outside the U.S. and Puerto Rico when your 2017 return is due. The time to pay your New York State, New York City and Yonkers income tax, and any New York State or local sales or use tax is similarly automatically extended. 
(SEE ADDITONAL EXCEPTIONS ON THEINSTRUCTIONS)",43388,6 month ext,,,,,,
North Carolina (NC),Individual,INDIVIDUAL INCOME TAX RETURN,D-400,https://files.nc.gov/ncdor/documents/files/2017_d-400_webfill.pdf?H8oYuS.8qxmD9eV9vjTpW3OWE.1QMwlm,https://files.nc.gov/ncdor/documents/files/2017_d-401_0.pdf?_1yW7DBUz_FrA0h_WE4WRXlR2e_7PGo9,,,Y,,43207,,43388,"If you are out of the country and unable to file your income tax return within the automatic 4 month_x000D_
extension period, an additional two month (2) extension may be obtained by filling in the circle at the_x000D_
bottom right of Form D-410. To receive the additional 2 month extension, file Form D-410 by August_x000D_
15, 2018.",,,,,,
North Dakota (ND),Individual,INDIVIDUAL INCOME TAX RETURN,ND-1,http://www.nd.gov/tax/data/upfiles/media/form-nd-1.pdf?20180108081133,http://www.nd.gov/tax/data/upfiles/media/individual-income-tax-booklet.pdf?20180108081102,,,,,43207,,43388,,,,,,,
Ohio (OH),Individual,Individual Income Tax Return,IT-1040,https://www.tax.ohio.gov/Portals/0/forms/ohio_individual/individual/2017/PIT_IT1040_Bundle_FI.pdf,https://www.tax.ohio.gov/portals/0/forms/ohio_individual/individual/2017/PIT_IT1040_Booklet.pdf,,,,,,,,,,,,,,
Oklahoma (OK),Individual,Nonresident/,511NR,https://www.ok.gov/tax/documents/511NRPkt-17.pdf,https://www.ok.gov/tax/documents/511NRPkt-17.pdf,,,,,,,,,,,,,,
Oklahoma (OK),Individual,Resident Income Tax Return ,511,http://www.metrolibrary.org/tax-forms/state/ok_tax_511.pdf,https://www.ok.gov/tax/documents/511Pkt-17.pdf,,,,,,,,,,,,,,
Oregon (OR),Individual, Individual Income Tax Return for Full-year Residents,OR-40,http://www.oregon.gov/DOR/forms/FormsPubs/form-or-40_101-040_2017.pdf,,,,,,,,,,,,,,,
Pennsylvania (PA),Individual,Income Tax Return,PA-40,http://www.revenue.pa.gov/FormsandPublications/FormsforIndividuals/PIT/Documents/2016/2016_pa-40.pdf,http://www.revenue.pa.gov/FormsandPublications/FormsforIndividuals/PIT/Documents/2016/2016_pa-40in.pdf,,,Y,,43205,null,43388,,,,,,,
Pennsylvania (PA),Individual,Nonresident Consolidated Income Tax Return,PA-40 NRC,http://www.revenue.pa.gov/FormsandPublications/FormsforBusinesses/Partnerships-S-Corps-LLCs/Documents/2016/2016_pa-40nrc.pdf,http://www.zillionforms.com/2016/I703080955.PDF,,,Y,,43205,null,43388,,,,,,,
Rhode Island (RI),Individual,Nonresident Individual Income Tax Return,RI-1040NR,http://www.tax.ri.gov/forms/2017/Income/2017%201040NR_m.pdf,http://www.tax.ri.gov/forms/2017/Income/2017%20NR%20Instructions_v3.pdf,,,,,,,,,,,,,,
Rhode Island (RI),Individual,Resident Individual Income Tax Return,RI-1040,http://www.tax.ri.gov/forms/2017/Income/2017%201040_m.pdf,,,,,,,,,,,,,,,
South Carolina (SC),Individual,INDIVIDUAL INCOME TAX RETURN,SC1040,https://dor.sc.gov/forms-site/Forms/SC1040_2017.pdf,,,,,,,,,,,,,,,
South Dakota (SD),Individual,,,,,,,,,,,,,,,,,,
Tennessee (TN),Individual,Individual Income Tax Return,INC 250,https://www.tn.gov/content/dam/tn/revenue/documents/forms/income/inc250_2017.pdf,https://www.tn.gov/content/dam/tn/revenue/documents/forms/income/inc250_2017.pdf,,,,,,,,,,,,,,
Texas (TX),Individual,,,,,,,,,,,,,,,,,,
Utah (UT),Individual,Individual Income Tax Return,TC-40,https://tax.utah.gov/forms/current/tc-40.pdf,https://tax.utah.gov/forms/current/tc-40inst.pdf,,,,,,,,,,,,,,
Vermont (VT),Individual,INCOME TAX RETURN,IN-111,http://tax.vermont.gov/sites/tax/files/documents/IN-111.pdf,http://tax.vermont.gov/sites/tax/files/documents/IN-111%20Instr.pdf,,,,,,,,,,,,,,
Virginia (VA),Individual, Income Tax Return,760C (NONRESIDENT),https://www.tax.virginia.gov/sites/default/files/taxforms/individual-income-tax/2017/760c-2017.pdf,https://www.tax.virginia.gov/sites/default/files/vatax-pdf/2017-form-760c-instructions.pdf,,,Y,Depends,,,,,,,,,,
Virginia (VA),Individual,Individual Income Tax Return,760,https://www.tax.virginia.gov/sites/default/files/taxforms/individual-income-tax/2017/760-2017.pdf,https://www.tax.virginia.gov/sites/default/files/vatax-pdf/2017-form-760-instructions.pdf,,,,,,,,,,,,,,
Washington DC (DC),Individual,D-40 Individual Income Tax Return,D-40,https://otr.cfo.dc.gov/sites/default/files/dc/sites/otr/publication/attachments/2017%20FINAL%20D-40%20D-40EZ_BOOK%2010.31.17.pdf,https://otr.cfo.dc.gov/sites/default/files/dc/sites/otr/publication/attachments/2017%20FINAL%20D-40%20D-40EZ_BOOK%2010.31.17.pdf,,,,,,,,,,,,,,
West Virginia (WV),Individual,Personal Income Tax Return,IT-140,http://tax.wv.gov/Documents/TaxForms/2017/it140.booklet.pdf,http://tax.wv.gov/Documents/TaxForms/2017/it140.booklet.pdf,,,,,,,,,,,,,,
West Virginia (WV),Individual,Nonresident Composite Return,IT-140 NRC,http://tax.wv.gov/Documents/TaxForms/2017/it140.booklet.pdf,http://tax.wv.gov/Documents/TaxForms/2017/it140.booklet.pdf,,,,,,,,,,,,,,
Wisconsin (WI),Individual,Income Tax Return,1A,https://www.revenue.wi.gov/TaxForms2017through2019/2017-Form1A.pdf,https://www.revenue.wi.gov/TaxForms2017through2019/2017-Form1AandWI-Z-inst.pdf,,,,,,,,,,,,,,
Wisconsin (WI),Individual,Composite - Individual Income Tax Return for Nonresident Partners,1CNP,https://www.revenue.wi.gov/TaxForms2017through2019/2017-Form1CNP.pdf,https://www.revenue.wi.gov/TaxForms2017through2019/2017-Form1CNP-Inst.pdf,,,,,,,,,,,,,,
Wisconsin (WI),Individual,Composite - Individual Income Tax Return for Nonresident Tax-Option (s) Corporation Shareholders,1CNS,https://www.revenue.wi.gov/TaxForms2017through2019/2017-Form1CNS.pdf,https://www.revenue.wi.gov/TaxForms2017through2019/2017-Form1CNS-Inst.pdf,,,,,,,,,,,,,,
Wisconsin (WI),Individual,Nonresident & part-year resident income tax,1NPR,https://www.revenue.wi.gov/TaxForms2017through2019/2017-Form1NPR.pdf,https://www.revenue.wi.gov/TaxForms2017through2019/2017-Form1NPR-inst.pdf,,,,,,,,,,,,,,
Wyoming (WY),Individual,null,null,,,,,,,,,,,,,,,,
California (CA),LLC,Limited Liability Company Return of Income ,568,https://www.ftb.ca.gov/forms/2017/17_568.pdf#,https://www.ftb.ca.gov/forms/2017/17_568bk.pdf,,,Yes,Depends,43174,15th day of the 3rd month following the close of the taxable year - for LLC's classified as Partnerships,43388,"7 months - For taxable years beginning on or after January 1, 2017, the extension period for a limited liability company (LLC) classified as a partnership to file its tax return has changed from six months to seven months",,,,,,
Indiana (IN),LLC,"Limited Liability Company: If the LLC qualifies under IRS guidelines, it may be taxed only once. Like a partnership at the employee or member level, LLCs do not face the same restrictions as an S Corporation. One of the following forms would need to be filed in Indiana: ","IT-40, IT-40PNR or IT-65",,,,,,,43205,15th day of the 4th month following close of the taxable year,,,,,,,,
Missouri (MO),LLC,,,,,,,,,,,,,,,,,,
Montana (MT),LLC,,,,,,,,,,,,,,,,,,
Nebraska (NE),LLC,,,,,,,,,,,,,,,,,,
Nevada (NV),LLC,,,,,,,,,,,,,,,,,,
New Hampshire (NH),LLC,,,,,,,,,,,,,,,,,,
New Jersey (NJ),LLC,Partnership Return,NJ-1065,http://www.state.nj.us/treasury/taxation/pdf/current/part/1065part.pdf,http://www.state.nj.us/treasury/taxation/pdf/current/part/1065i.pdf,,,y,Depends,43205,15th day of the fourth month after the end of the tax year,43358,5 month extension,,,,,,
New Mexico (NM),LLC,,,,,,,,,,,,,,,,,,
New York (NY),LLC,"Partnership, Limited Liability Company, and_x000D_
Limited Liability Partnership_x000D_
Filing Fee Payment Form",IT-204-LL,https://www.tax.ny.gov/pdf/current_forms/it/it204ll_fill_in.pdf?_ga=2.254689288.1824729858.1515595587-422374619.1515170541,https://www.tax.ny.gov/pdf/current_forms/it/it204lli.pdf?_ga=2.254689288.1824729858.1515595587-422374619.1515170541,,,Y,Depends,43174,15th day of the third month following the close of your tax year,N/A,There is no extension of time to file form IT-204-ll,,,,,,
North Carolina (NC),LLC,PARTNERSHIP INCOME TAX RETURN,D-403,https://files.nc.gov/ncdor/documents/files/2017_d-403_webfill.pdf?iGfP5rkRat.0mAt5X7wPkeBQ3Kr9fNRx,https://files.nc.gov/ncdor/documents/files/2017_d-403a_web.pdf?JSvJNcJ0Neut56LOhpMgS_ApC1vaU0ip,,,Y,,43207,,43388,6 MONTH EXT,,,,,,
North Dakota (ND),LLC,,58,https://www.nd.gov/tax/data/upfiles/media/form-58_1.pdf?20180111101132,https://www.nd.gov/tax/data/upfiles/media/corporate-income-tax-booklet.pdf?20180111101423,,,,,43174,,42993,,,,,,,
Ohio (OH),LLC,,,,,,,,,,,,,,,,,,
Oklahoma (OK),LLC,,,,,,,,,,,,,,,,,,
Oregon (OR),LLC,,,,,,,,,,,,,,,,,,
Pennsylvania (PA),LLC,S Corporation/Partnership,PA-20S/PA-65,http://www.revenue.pa.gov/FormsandPublications/FormsforBusinesses/Partnerships-S-Corps-LLCs/Documents/2016/2016_pa-20s-pa-65.pdf,http://www.revenue.pa.gov/FormsandPublications/FormsforBusinesses/Partnerships-S-Corps-LLCs/Documents/2016/2016_pa-20s-pa-65.pdf,,,Y,,43205,15th day of the fourth month following the close of the fiscal year,43358,,,,,,,
Rhode Island (RI),LLC,Partnership Income Return,RI-1065,http://www.tax.ri.gov/forms/2017/DRAFTS/Corp/RI-1065_FFXTEST.pdf,http://www.tax.ri.gov/forms/2016/Corp/2016%20RI-1065%20Instructions_122016.pdf,,,,,,,,,,,,,,
South Carolina (SC),LLC,,,,,,,,,,,,,,,,,,
South Dakota (SD),LLC,,,,,,,,,,,,,,,,,,
Tennessee (TN),LLC,,,,,,,,,,,,,,,,,,
Texas (TX),LLC,,,,,,,,,,,,,,,,,,
Utah (UT),LLC,"Partnership/Limited Liability Partnership/_x000D_
Limited Liability Company Return",TC-65,https://tax.utah.gov/forms/current/tc-65.pdf,https://tax.utah.gov/forms/current/tc-65inst.pdf,,,,,,,,,,,,,,
Vermont (VT),LLC,,,,,,,,,,,,,,,,,,
Virginia (VA),LLC,,,,,,,,,,,,,,,,,,
Washington DC (DC),LLC,,,,,,,,,,,,,,,,,,
Wyoming (WY),LLC,null,null,,,,,,,,,,,,,,,,
Alabama (AL),Partnership,Partnership/Limited Liability Company Return of Income,65,https://revenue.alabama.gov/wp-content/uploads/2018/01/17f65.pdf,https://revenue.alabama.gov/wp-content/uploads/2018/01/17f65instr.pdf,,,,,43174,15th day of the 3rd month following fiscal year end,43327,5 month ext,,,,,,
Arizona (AZ),Partnership,Partnership Income Tax Return,165,https://www.azdor.gov/Portals/0/ADOR-forms/TY2017/CORP-F/FORMS_PARTNERSHIP_2017_165_f.pdf,https://www.azdor.gov/Portals/0/ADOR-forms/TY2017/CORP-I/FORMS_PARTNERSHIP_2017_165-i.pdf,,,,,43205,15th day of the 3rd month following fiscal year end,43205,Due date of the return,,,,,,
Arkansas (AR),Partnership,PARTNERSHIP INCOME TAX RETURN,AR1050,https://www.dfa.arkansas.gov/images/uploads/incomeTaxOffice/AR1050.pdf,https://www.dfa.arkansas.gov/images/uploads/incomeTaxOffice/PartnershipTaxInst.pdf,,,,,43174,15th day of the 3rd month following fiscal year end,43205,15th day of the 4th month following the fiscal year end,,,,,,
California (CA),Partnership,Partnership Return of Income ,565,https://www.ftb.ca.gov/forms/2017/17_565.pdf#,https://www.ftb.ca.gov/forms/2017/17_565bk.pdf,,,Yes,Depends,43174,A partnership must file Form 565 and pay the $800 annual tax (if required) by the 15th day of the 3rd month (fiscal year),43388,"7 months - If a partnership needs more time to file Form 565 by the return’s due date, the partnership is granted an automatic seven month extension.",,,,,,
Colorado (CO),Partnership,Pass-Trhough Entity Composite Nonresident Income Tax Form (Partnership/S-Corporation Booklet),106,https://www.colorado.gov/pacific/sites/default/files/106Book.pdf,https://www.colorado.gov/pacific/sites/default/files/106Book.pdf,,,Yes,,43207,"15 day of the fourth month after the close of the tax year, ",,6 months,,,,,,
Connecticut (CT),Partnership,Composite Income Tax Return,CT-1065,http://www.ct.gov/drs/lib/drs/forms/1-2017/composite/ct-1065_ct-1120si_1217.pdf,http://www.ct.gov/drs/lib/drs/forms/1-2017/composite/ct-1065_ct-1120si_booklet_1217.pdf,,,yes,,43205,15  day of the fourth month following the close of the taxable year,43205,"5 months, but only only if federal Form 7004, Application for Automatic Extension of Time to File Certain Business Income Tax, Information, and Other Returns, has been filed",,,,,,
Connecticut (CT),Partnership,Composite Income Tax Return,CT-1120SI,http://www.ct.gov/drs/lib/drs/forms/1-2017/composite/ct-1065_ct-1120si_1217.pdf,http://www.ct.gov/drs/lib/drs/forms/1-2017/composite/ct-1065_ct-1120si_booklet_1217.pdf,,,yes,,43205,15  day of the fourth month following the close of the taxable year,43205,"5 months, but only only if federal Form 7004, Application for Automatic Extension of Time to File Certain Business Income Tax, Information, and Other Returns, has been filed",,,,,,
Delaware (DE),Partnership,PARTNERSHIP RETURN,300,https://revenue.delaware.gov/services/current_pit/TY17_300e.pdf,https://revenue.delaware.gov/services/current_pit/TY16_300i.pdf,,,,,,,,,,,,,,
Georgia (GA),Partnership,Partnership Tax Return,700,https://dor.georgia.gov/sites/dor.georgia.gov/files/related_files/document/TSD/Form/TSD_Partnership_Tax_Return_700_2017.pdf,,,,,,,,,,,,,,,
Hawaii (HI),Partnership,PARTNERSHIP RETURN OF INCOME,N-20,http://files.hawaii.gov/tax/forms/2017/n20_f.pdf,http://files.hawaii.gov/tax/forms/2017/n20ins.pdf,,,,,,,,,,,,,,
Idaho (ID),Partnership,PARTNERSHIP RETURN OF INCOME,65,https://tax.idaho.gov/forms/EFO00035_06-13-2017.pdf,https://tax.idaho.gov/forms/EIN00046_10-30-2017.pdf,,,,,,,,,,,,,,
Illinois (IL),Partnership,Partnership Replacement Tax Return,IL-1065,http://www.revenue.state.il.us/TaxForms/IncmCurrentYear/Business/Partnership/IL-1065.pdf,http://www.revenue.state.il.us/TaxForms/IncmCurrentYear/Business/Partnership/IL-1065-Instr.pdf,,,,,43205,15th day of the 4rd month following fiscal year end,,AUTOMATIC,,,,,,
Indiana (IN),Partnership,Partnership Return,IT-65,https://www.in.gov/dor/5696.htm,https://www.in.gov/dor/5696.htm,,,,,,,,,,,,,,
Iowa (IA),Partnership,Partnership Return of Income,IA 1065,https://tax.iowa.gov/sites/files/idr/forms1/2017IA1065%2841016%29.pdf,https://tax.iowa.gov/sites/files/idr/forms1/2015IA1065_Instructions%20%2841017%29.pdf,,,,,,,,,,,,,,
Kansas (KS),Partnership,PARTNERSHIP or S CORPORATION INCOME,K-120S,https://www.ksrevenue.org/pdf/k-120s17.pdf,,,,,,,,,,,,,,,
Kentucky (KY),Partnership,PARTNERSHIP INCOME AND LLET RETURN,765,https://revenue.ky.gov/Forms/2016_41A765.pdf,https://revenue.ky.gov/Forms/2016_41A765(I).pdf,,,,,,,,,,,,,,
Louisiana (LA),Partnership,Partnership Return of Income,IT-565,http://revenue.louisiana.gov/TaxForms/565(1_17).pdf,http://revenue.louisiana.gov/TaxForms/565(1_17).pdf,,,Y,,43205, 15th day of the fourth month after the close of the fiscal period,43388,6 months,,,,,,
Maine (ME),Partnership,FOR FINANCIAL INSTITUTIONS,1065ME/1120S-ME,,,,,,,,,,,,,,,,
Maryland (MD),Partnership,PASS-THROUGH ENTITY INCOME TAX RETURN,510,http://forms.marylandtaxes.gov/current_forms/510.pdf,http://forms.marylandtaxes.gov/current_forms/PTE_Booklet.pdf,,,,,,,,,,,,,,
Massachusetts (MA),Partnership,Partnership Return of Income,3,https://www.mass.gov/files/documents/2017/12/01/dor-2017-partnership-form-3.pdf,,,,,,,,,,,,,,,
Michigan (MI),Partnership,,,,,,,,,,,,,,,,,,
Mississippi (MS),Partnership,,84-105,http://www.dor.ms.gov/Forms/84105168.pdf,,,,,,,,,,,,,,,
Missouri (MO),Partnership,Partnership Return of Income,MO-1065,http://dor.mo.gov/forms/MO-1065_2017.pdf,,,,,,,,,,,,,,,
Montana (MT),Partnership, Partnership Information and Composite Tax Return,PR-1,https://app.mt.gov/myrevenue/Endpoint/DownloadPdf?yearId=807,https://app.mt.gov/myrevenue/Endpoint/DownloadPdf?yearId=807,,,,,,,,,,,,,,
Nebraska (NE),Partnership,Return of Partnership Income,1065N,http://www.revenue.nebraska.gov/tax/17forms/f_1065n.pdf,http://www.revenue.nebraska.gov/tax/17forms/f_1065n_booklet.pdf,,,,,,,,6 months,,,,,,
Nevada (NV),Partnership,,,,,,,,,,,,,,,,,,
New Hampshire (NH),Partnership,"
 BUSINESS PROFITS TAX RETURN",NH-1065,https://www.revenue.nh.gov/forms/2018/documents/nh-1065-2017-print.pdf,https://www.revenue.nh.gov/forms/2017/documents/nh-1065-es-2016-print.pdf,,,,,,,,,,,,,,
New Jersey (NJ),Partnership,Partnership Return,NJ-1065,http://www.state.nj.us/treasury/taxation/pdf/current/part/1065part.pdf,http://www.state.nj.us/treasury/taxation/pdf/current/part/1065i.pdf,,,Y,Depends,43205,15th day of the fourth month after the end of the tax year,43358,"5 month ext; automatic with Fed extension, however, if you did not obtain a Federal extension and you need more time to file your New Jersey Form NJ-1065, Federal Form 7004 must be submitted as your request to New Jersey on or before the original due date of the return - see the return instructions for detail",,,,,,
New Mexico (NM),Partnership,,,,,,,,,,,,,,,,,,
New York (NY),Partnership,Partnership Return,IT-204,https://www.tax.ny.gov/pdf/current_forms/it/it204_fill_in.pdf?_ga=2.221085976.1824729858.1515595587-422374619.1515170541,https://www.tax.ny.gov/pdf/current_forms/it/it204i.pdf,,,Y,,43174,"15th day of the third month after the end of the tax year
(SEE EXT INSTRUCTIONS FOR ADDITIONAL EXCEPTIONS)",43358,6 month ext,,,,,,
North Carolina (NC),Partnership,PARTNERSHIP INCOME TAX RETURN,D-403,https://files.nc.gov/ncdor/documents/files/2017_d-403_webfill.pdf?iGfP5rkRat.0mAt5X7wPkeBQ3Kr9fNRx,https://files.nc.gov/ncdor/documents/files/2017_d-403a_web.pdf?JSvJNcJ0Neut56LOhpMgS_ApC1vaU0ip,,,Y,,43207,,43388,"bottom right of Form D-410. To receive the additional 2 month extension, file Form D-410 by August",,,,,,
North Dakota (ND),Partnership,Partnership Income Tax Return,58,https://www.nd.gov/tax/data/upfiles/media/form-58_1.pdf?20180111101132,https://www.nd.gov/tax/data/upfiles/media/corporate-income-tax-booklet.pdf?20180111101423,,,,,43174,,42993,,,,,,,
Ohio (OH),Partnership,,,,,,,,,,,,,,,,,,
Oklahoma (OK),Partnership,Partnership Income Tax Return,514,https://www.ok.gov/tax/documents/514Pkt-17.pdf,https://www.ok.gov/tax/documents/514Pkt-17.pdf,,,,,,,,,,,,,,
Oregon (OR),Partnership,Partnership Return of Income,OR-65,http://www.oregon.gov/DOR/forms/FormsPubs/form-or-65_101-065_2017.pdf,,,,,,,,,,,,,,,
Pennsylvania (PA),Partnership,S Corporation/Partnership,PA-20S/PA-65,http://www.revenue.pa.gov/FormsandPublications/FormsforBusinesses/Partnerships-S-Corps-LLCs/Documents/2016/2016_pa-20s-pa-65.pdf,http://www.revenue.pa.gov/FormsandPublications/FormsforBusinesses/Partnerships-S-Corps-LLCs/Documents/2016/2016_pa-20s-pa-65.pdf,,,Y,,43205,15th day of the fourth month following the close of the fiscal year,43358,,,,,,,
Rhode Island (RI),Partnership,Partnership Income Return,RI-1065,http://www.tax.ri.gov/forms/2017/DRAFTS/Corp/RI-1065_FFXTEST.pdf,http://www.tax.ri.gov/forms/2016/Corp/2016%20RI-1065%20Instructions_122016.pdf,,,,,,,,,,,,,,
South Carolina (SC),Partnership,PARTNERSHIP RETURN,SC1065,https://dor.sc.gov/forms-site/Forms/SC1065_2017.pdf,,,,,,,,43207,6 month,,,,,,
South Dakota (SD),Partnership,,,,,,,,,,,,,,,,,,
Tennessee (TN),Partnership,,,,,,,,,,,,,,,,,,
Texas (TX),Partnership,,,,,,,,,,,,,,,,,,
